city,voivodeship_name,latitude,longitude,source_name
SĘKOWA,MAŁOPOLSKIE,49.6128184,21.2065054,nominatim
UJANOWICE,MAŁOPOLSKIE,49.7463188,20.5571718,nominatim
ŁĘŻKOWICE,MAŁOPOLSKIE,49.9651997,20.2993749,nominatim
BRZESKO,MAŁOPOLSKIE,49.9678396,20.6068496,nominatim
MANIOWY,MAŁOPOLSKIE,49.4622808,20.2687022,nominatim
LICHWIN,MAŁOPOLSKIE,49.8886275,20.9571921,nominatim
DOBRA,MAŁOPOLSKIE,49.7181214,20.2507691,nominatim
WOJNICZ,MAŁOPOLSKIE,49.9573496,20.8364048,nominatim
BIELANY,MAŁOPOLSKIE,50.0401439,19.8214103,nominatim
GRÓDEK NAD DUNAJCEM,MAŁOPOLSKIE,49.7486434,20.7323128,nominatim
GNOJNIK,MAŁOPOLSKIE,49.8952721,20.6071741,nominatim
BUKOWINA TATRZAŃSKA,MAŁOPOLSKIE,49.3423002,20.1072586,nominatim
TRZYCIĄŻ,MAŁOPOLSKIE,50.3094145,19.7675599,nominatim
RAJBROT,MAŁOPOLSKIE,49.8219848,20.4878067,nominatim
RZEPIENNIK STRZYŻEWSKI,MAŁOPOLSKIE,49.8072487,21.0351977,nominatim
JUSZCZYN,MAŁOPOLSKIE,49.6939602,19.6942557,nominatim
BIAŁY DUNAJEC,MAŁOPOLSKIE,49.3691202,20.0094701,nominatim
KOSZYCE,MAŁOPOLSKIE,50.1669806,20.5756459,nominatim
JANOWICE,MAŁOPOLSKIE,49.9482900,20.0086800,nominatim
