city,voivodeship_name,latitude,longitude,source_name
BEREST,MAŁOPOLSKIE,49.5038430,20.9744436,nominatim
BŁONIE,MAŁOPOLSKIE,49.9566931,20.9014848,nominatim
NOWY WIŚNICZ,MAŁOPOLSKIE,49.9152667,20.4621677,nominatim
GROMNIK,MAŁOPOLSKIE,49.8381626,20.9614301,nominatim
LISZKI,MAŁOPOLSKIE,50.0384673,19.7661585,nominatim
FRYDMAN,MAŁOPOLSKIE,49.4493133,20.2296950,nominatim
SZAFLARY,MAŁOPOLSKIE,49.4229109,20.0260584,nominatim
SIEMIECHÓW,MAŁOPOLSKIE,49.8534433,20.9017161,nominatim
ŁĄCZANY,MAŁOPOLSKIE,49.9859855,19.5772849,nominatim
SROMOWCE WYŻNE,MAŁOPOLSKIE,49.4052226,20.3402657,nominatim
HUTKI,MAŁOPOLSKIE,50.3077414,19.5005583,nominatim
GRYBÓW,MAŁOPOLSKIE,49.6149554,20.9488247,nominatim
KRZĘCIN,MAŁOPOLSKIE,49.9435816,19.7421216,nominatim
RABKA,MAŁOPOLSKIE,49.6076663,19.9622575,nominatim
DZIEWIN,MAŁOPOLSKIE,50.0758765,20.4555535,nominatim
ZAKOPANE,MAŁOPOLSKIE,49.2969114,19.9504753,nominatim
CHOMRANICE,MAŁOPOLSKIE,49.6798984,20.5898699,nominatim
LEŚNICA,MAŁOPOLSKIE,49.3977929,20.0589493,nominatim
STADNIKI,MAŁOPOLSKIE,49.8848426,20.1572434,nominatim
ZALASOWA,MAŁOPOLSKIE,49.9261898,21.1265498,nominatim
DĘBNO,MAŁOPOLSKIE,49.4666498,20.2079069,nominatim
KALWARIA ZEBRZYDOWSKA,MAŁOPOLSKIE,49.8669482,19.6763089,nominatim
GRĘBOSZÓW,MAŁOPOLSKIE,50.2443127,20.7758287,nominatim
KOSZYCE MAŁE,MAŁOPOLSKIE,49.9719169,20.9462940,nominatim
WIELKIE DROGI,MAŁOPOLSKIE,49.9607622,19.7037898,nominatim
ŁAPSZE NIŻNE,MAŁOPOLSKIE,49.3980442,20.2400473,nominatim
SŁUPIEC,MAŁOPOLSKIE,50.3204705,21.1939808,nominatim
PIWNICZNA,MAŁOPOLSKIE,49.4406462,20.7142303,nominatim
KOŚCIELISKO,MAŁOPOLSKIE,49.2907179,19.8885727,nominatim
NOWA GÓRA,MAŁOPOLSKIE,50.1741473,19.5933950,nominatim
RACŁAWICE,MAŁOPOLSKIE,50.3247214,20.2356859,nominatim
BOCHNIA,MAŁOPOLSKIE,49.9693563,20.4305410,nominatim
ŁUŻNA,MAŁOPOLSKIE,49.7124340,21.0534773,nominatim
JERZMANOWICE,MAŁOPOLSKIE,50.2127644,19.7482605,nominatim
WAKSMUND,MAŁOPOLSKIE,49.4814653,20.0785391,nominatim
WIĘCKOWICE,MAŁOPOLSKIE,50.1602345,20.2982421,nominatim
WĘGRZCE,MAŁOPOLSKIE,50.1200630,19.9744446,nominatim
TRZEBUNIA,MAŁOPOLSKIE,49.7900922,19.8522214,nominatim
BRUŚNIK,MAŁOPOLSKIE,49.7484324,20.9065506,nominatim
DOMINIKOWICE,MAŁOPOLSKIE,49.6446939,21.2182382,nominatim
LIBIĄŻ,MAŁOPOLSKIE,50.1030516,19.3147486,nominatim
JORDANÓW,MAŁOPOLSKIE,49.6492876,19.8299532,nominatim
TARNÓW,MAŁOPOLSKIE,50.0259883,20.9640584,nominatim
TOMASZKOWICE,MAŁOPOLSKIE,49.9761631,20.0973407,nominatim
BACHOWICE,MAŁOPOLSKIE,49.9587860,19.4915809,nominatim
SZCZUROWA,MAŁOPOLSKIE,50.1190396,20.6373655,nominatim
JADOWNIKI MOKRE,MAŁOPOLSKIE,50.1652350,20.7287915,nominatim
KOCMYRZÓW,MAŁOPOLSKIE,50.1316347,20.1293350,nominatim
PODEGRODZIE,MAŁOPOLSKIE,49.5761014,20.5889551,nominatim
JAZOWSKO,MAŁOPOLSKIE,49.5297790,20.5171302,nominatim
KRYG,MAŁOPOLSKIE,49.6569179,21.2556404,nominatim
PORĄBKA USZEWSKA,MAŁOPOLSKIE,49.9380498,20.6851990,nominatim
IWKOWA,MAŁOPOLSKIE,49.8171879,20.5900198,nominatim
PRZYTKOWICE,MAŁOPOLSKIE,49.9199121,19.6828618,nominatim
TOKARNIA,MAŁOPOLSKIE,49.7322447,19.8797303,nominatim
POLANKA WIELKA,MAŁOPOLSKIE,49.9838274,19.3074201,nominatim
SUŁOSZOWA,MAŁOPOLSKIE,50.2672276,19.7330471,nominatim
BRZESZCZE,MAŁOPOLSKIE,49.9815881,19.1478238,nominatim
ŻABNO,MAŁOPOLSKIE,50.1335155,20.8859257,nominatim
WOJAKOWA,MAŁOPOLSKIE,49.8039741,20.5616660,nominatim
ZATOR,MAŁOPOLSKIE,49.9963053,19.4376782,nominatim
IMBRAMOWICE,MAŁOPOLSKIE,50.3016845,19.8496290,nominatim
SZCZAWA,MAŁOPOLSKIE,49.5703658,20.2337146,nominatim
ZABIERZÓW,MAŁOPOLSKIE,50.1146386,19.7993814,nominatim
GORLICE,MAŁOPOLSKIE,49.6582900,21.1593832,nominatim
LIPNICA MUROWANA,MAŁOPOLSKIE,49.8589400,20.5274000,nominatim
WĘGRZCE WIELKIE,MAŁOPOLSKIE,50.0148566,20.1099342,nominatim
SKRZYDLNA,MAŁOPOLSKIE,49.7543487,20.1774423,nominatim
ZEMBRZYCE,MAŁOPOLSKIE,49.7737749,19.6006622,nominatim
SIEDLISKA,MAŁOPOLSKIE,50.3789043,20.0227966,nominatim
KOŹMICE WIELKIE,MAŁOPOLSKIE,49.9489700,20.0372400,nominatim
OCHOTNICA DOLNA,MAŁOPOLSKIE,49.5255655,20.3202148,nominatim
PLEŚNA,MAŁOPOLSKIE,49.9241841,20.9446069,nominatim
BIECZ,MAŁOPOLSKIE,49.7305351,21.2494210,nominatim
LIPINKI,MAŁOPOLSKIE,49.6723467,21.2921220,nominatim
SIEDLEC,MAŁOPOLSKIE,49.9565764,20.3221328,nominatim
WIELOGŁOWY,MAŁOPOLSKIE,49.6730030,20.6849594,nominatim
MSZANA GÓRNA,MAŁOPOLSKIE,49.6585964,20.1037411,nominatim
OLKUSZ,MAŁOPOLSKIE,50.2788158,19.5596307,nominatim
STARA WIEŚ,MAŁOPOLSKIE,49.6755381,20.3969719,nominatim
OTFINÓW,MAŁOPOLSKIE,50.1876664,20.8121747,nominatim
SIENIAWA,MAŁOPOLSKIE,49.5398708,19.9286064,nominatim
NOWY TARG,MAŁOPOLSKIE,49.4892092,20.0263411,nominatim
STRYSZÓW,MAŁOPOLSKIE,49.8251280,19.6261498,nominatim
ZALAS,MAŁOPOLSKIE,50.0803289,19.6255583,nominatim
OSIECZANY,MAŁOPOLSKIE,49.8414451,19.9798684,nominatim
BIBICE,MAŁOPOLSKIE,50.1240692,19.9552750,nominatim
OSTRÓW,MAŁOPOLSKIE,50.2320567,20.3642508,nominatim
MSZALNICA,MAŁOPOLSKIE,49.6096100,20.8231600,nominatim
WIŚNIOWA,MAŁOPOLSKIE,49.7876371,20.1164664,nominatim
ŁYSZKOWICE,MAŁOPOLSKIE,50.1762085,20.2062438,nominatim
TRZEBINIA,MAŁOPOLSKIE,50.1597686,19.4709097,nominatim
SUŁKOWICE,MAŁOPOLSKIE,49.8408265,19.8012137,nominatim
SZCZAWNICA,MAŁOPOLSKIE,49.4266299,20.4761439,nominatim
SPYTKOWICE,MAŁOPOLSKIE,49.9949790,19.5087999,nominatim
BOLESŁAW,MAŁOPOLSKIE,50.2970061,19.4811218,nominatim
KLUCZE,MAŁOPOLSKIE,50.3351358,19.5608326,nominatim
KŁAJ,MAŁOPOLSKIE,49.9925308,20.3154849,nominatim
SUŁKÓW,MAŁOPOLSKIE,49.9927065,20.1052994,nominatim
GDÓW,MAŁOPOLSKIE,49.9085036,20.1996034,nominatim
STARY SĄCZ,MAŁOPOLSKIE,49.5640376,20.6366038,nominatim
ŁĘTOWNIA,MAŁOPOLSKIE,49.6959255,19.8642526,nominatim
ŁĘKAWICA,MAŁOPOLSKIE,49.8405184,19.5812222,nominatim
CZARNY DUNAJEC,MAŁOPOLSKIE,49.4404930,19.8535612,nominatim
TOPORZYSKO,MAŁOPOLSKIE,49.6278000,19.8104900,nominatim
LACHOWICE,MAŁOPOLSKIE,49.7121125,19.4699761,nominatim
CIKOWICE,MAŁOPOLSKIE,49.9815662,20.3720173,nominatim
TYLMANOWA,MAŁOPOLSKIE,49.5132491,20.3967372,nominatim
STRADOMKA,MAŁOPOLSKIE,49.9207340,20.3166669,nominatim
LUSZOWICE,MAŁOPOLSKIE,50.1733961,19.4029060,nominatim
BINAROWA,MAŁOPOLSKIE,49.7571232,21.2279701,nominatim
CIANOWICE DUŻE,MAŁOPOLSKIE,50.1998053,19.8751238,nominatim
TARGANICE,MAŁOPOLSKIE,49.8130305,19.3292259,nominatim
PASZYN,MAŁOPOLSKIE,49.6250148,20.7818038,nominatim
DOBCZYCE,MAŁOPOLSKIE,49.8803432,20.0905415,nominatim
PALEŚNICA,MAŁOPOLSKIE,49.7928154,20.8002855,nominatim
LANCKORONA,MAŁOPOLSKIE,49.8454833,19.7150590,nominatim
BUKOWNO,MAŁOPOLSKIE,50.2609998,19.4361777,nominatim
ŁĘG TARNOWSKI,MAŁOPOLSKIE,50.0942221,20.9280306,nominatim
ZARZECZE,MAŁOPOLSKIE,50.3703678,19.6935661,nominatim
BARCICE GÓRNE,MAŁOPOLSKIE,,,not_found
JADOWNIKI,MAŁOPOLSKIE,49.9623096,20.6476688,nominatim
NIEGOWIĆ,MAŁOPOLSKIE,49.9369647,20.2381755,nominatim
ZAWOJA,MAŁOPOLSKIE,49.6600228,19.5579106,nominatim
SKAWA,MAŁOPOLSKIE,49.7252404,19.6731965,nominatim
LUBCZA,MAŁOPOLSKIE,49.9065768,21.2540731,nominatim
ALWERNIA,MAŁOPOLSKIE,50.0690434,19.5396737,nominatim
SIDZINA,MAŁOPOLSKIE,49.6125617,19.7278508,nominatim
KĘTY,MAŁOPOLSKIE,49.8829080,19.2239362,nominatim
POGWIZDÓW,MAŁOPOLSKIE,49.9220748,20.4014864,nominatim
RYCZÓW,MAŁOPOLSKIE,49.9805757,19.5507417,nominatim
PŁAZA,MAŁOPOLSKIE,50.0990603,19.4644435,nominatim
PRZECISZÓW,MAŁOPOLSKIE,50.0047374,19.3744959,nominatim
BABICE,MAŁOPOLSKIE,50.0525108,19.2090750,nominatim
TRZCIANA,MAŁOPOLSKIE,49.8452724,20.3731933,nominatim
ZAGÓRZANY,MAŁOPOLSKIE,49.8756645,20.2343314,nominatim
ODROWĄŻ,MAŁOPOLSKIE,49.4968259,19.8578438,nominatim
SKAWINA,MAŁOPOLSKIE,49.9747508,19.8265702,nominatim
LASKOWA,MAŁOPOLSKIE,49.6510000,20.0331944,nominatim
BIAŁA NIŻNA,MAŁOPOLSKIE,49.6360574,20.9679148,nominatim
WOLA RADZISZOWSKA,MAŁOPOLSKIE,49.9082745,19.7879994,nominatim
DZIANISZ,MAŁOPOLSKIE,49.3312989,19.8676419,nominatim
SKOMIELNA BIAŁA,MAŁOPOLSKIE,49.6407008,19.9200165,nominatim
MAKÓW PODHALAŃSKI,MAŁOPOLSKIE,49.7298971,19.6768803,nominatim
ZALIPIE,MAŁOPOLSKIE,50.2383267,20.8600558,nominatim
ŁAPANÓW,MAŁOPOLSKIE,49.8648601,20.2913672,nominatim
ZACZARNIE,MAŁOPOLSKIE,50.0622268,21.0670138,nominatim
NAWOJOWA,MAŁOPOLSKIE,49.5591200,20.7411900,nominatim
WIETRZYCHOWICE,MAŁOPOLSKIE,50.1906941,20.7652112,nominatim
JASTRZĘBIA,MAŁOPOLSKIE,49.8018732,20.8591220,nominatim
LUSŁAWICE,MAŁOPOLSKIE,49.8620765,20.8232586,nominatim
WRZĄSOWICE,MAŁOPOLSKIE,49.9606404,19.9443494,nominatim
LIMANOWA,MAŁOPOLSKIE,49.7061713,20.4217266,nominatim
STANIĄTKI,MAŁOPOLSKIE,50.0106406,20.1941445,nominatim
RZEPIENNIK BISKUPI,MAŁOPOLSKIE,49.7934884,21.0772081,nominatim
RUDAWA,MAŁOPOLSKIE,50.0993587,19.8084409,nominatim
ŁOSOSINA DOLNA,MAŁOPOLSKIE,49.7416411,20.6251038,nominatim
WOLA DĘBIŃSKA,MAŁOPOLSKIE,49.9734448,20.7097512,nominatim
JAROSZOWIEC,MAŁOPOLSKIE,50.3357187,19.5983795,nominatim
KRZESZÓW,MAŁOPOLSKIE,49.7576692,19.4880547,nominatim
SZCZYRZYC,MAŁOPOLSKIE,49.7820391,20.1920975,nominatim
KOZŁÓW,MAŁOPOLSKIE,50.4832564,20.0246387,nominatim
TUCHÓW,MAŁOPOLSKIE,49.8952190,21.0538362,nominatim
ZABIERZÓW BOCHEŃSKI,MAŁOPOLSKIE,50.0671959,20.3173449,nominatim
WIELKA WIEŚ,MAŁOPOLSKIE,50.4462508,20.1575158,nominatim
RUDNIK,MAŁOPOLSKIE,49.9112681,20.1069071,nominatim
RACIECHOWICE,MAŁOPOLSKIE,49.8448681,20.1371442,nominatim
RADGOSZCZ,MAŁOPOLSKIE,50.2053664,21.1113059,nominatim
WYSOCICE,MAŁOPOLSKIE,50.2833495,19.9201297,nominatim
CHRZANÓW,MAŁOPOLSKIE,50.1411926,19.4028502,nominatim
WADOWICE,MAŁOPOLSKIE,49.8834484,19.4925345,nominatim
MIECHÓW,MAŁOPOLSKIE,50.3566016,20.0276912,nominatim
ZIELONKI,MAŁOPOLSKIE,50.1174019,19.9206558,nominatim
CHOCHOŁÓW,MAŁOPOLSKIE,49.3717987,19.8163026,nominatim
NIEGARDÓW,MAŁOPOLSKIE,50.2179944,20.1855036,nominatim
